,Date_year,open,high_value,low,close,adjclose,total_volume,ticker
108,3/28/2022,10.07999992,10.07999992,10.07999992,10.07999992,10.07999992,0,XFINU
109,3/29/2022,10.05000019,10.05000019,10.05000019,10.05000019,10.05000019,4300,XFINU
110,3/30/2022,10.06000042,10.06000042,10.06000042,10.06000042,10.06000042,100,XFINU
111,3/31/2022,10.06000042,10.06000042,10.06000042,10.06000042,10.06000042,0,XFINU
112,4/1/2022,10.06000042,10.06000042,10.06000042,10.06000042,10.06000042,0,XFINU
113,4/4/2022,10.13000011,10.13000011,10.13000011,10.13000011,10.13000011,1260,XFINU
114,4/5/2022,10.13000011,10.13000011,10.13000011,10.13000011,10.13000011,0,XFINU
115,4/6/2022,10.07999992,10.07999992,10.06999969,10.06999969,10.06999969,1200,XFINU
116,4/7/2022,10.11999989,10.11999989,10.02999973,10.02999973,10.02999973,25563,XFINU
117,4/8/2022,10.05000019,10.05000019,10.0340004,10.0340004,10.0340004,1742,XFINU
118,4/11/2022,10.0340004,10.0340004,10.0340004,10.0340004,10.0340004,0,XFINU
119,4/12/2022,10.0340004,10.0340004,10.0340004,10.0340004,10.0340004,0,XFINU
120,4/13/2022,10.0340004,10.0340004,10.0340004,10.0340004,10.0340004,0,XFINU
121,4/14/2022,10.0340004,10.0340004,10.0340004,10.0340004,10.0340004,0,XFINU
122,4/18/2022,10.0340004,10.0340004,10.0340004,10.0340004,10.0340004,0,XFINU
123,4/19/2022,10.0340004,10.0340004,10.0340004,10.0340004,10.0340004,0,XFINU
124,4/20/2022,10.0340004,10.0340004,10.0340004,10.0340004,10.0340004,0,XFINU
125,4/21/2022,10.0340004,10.0340004,10.0340004,10.0340004,10.0340004,0,XFINU
126,4/22/2022,10.0340004,10.0340004,10.0340004,10.0340004,10.0340004,0,XFINU
127,4/25/2022,10.02999973,10.02999973,10.02999973,10.02999973,10.02999973,1970,XFINU
128,4/26/2022,10.02000046,10.02000046,10.02000046,10.02000046,10.02000046,1500,XFINU
129,4/27/2022,10.02000046,10.02000046,10.02000046,10.02000046,10.02000046,0,XFINU
130,4/28/2022,10.02000046,10.02000046,10.02000046,10.02000046,10.02000046,0,XFINU
131,4/29/2022,10.02000046,10.02000046,10.02000046,10.02000046,10.02000046,0,XFINU
132,5/2/2022,10.02000046,10.02000046,10.02000046,10.02000046,10.02000046,0,XFINU
133,5/3/2022,10.02000046,10.02000046,10.02000046,10.02000046,10.02000046,0,XFINU
134,5/4/2022,10.02000046,10.02000046,10.02000046,10.02000046,10.02000046,0,XFINU
135,5/5/2022,10.02000046,10.02000046,10.02000046,10.02000046,10.02000046,0,XFINU
136,5/6/2022,10.02000046,10.02000046,10.02000046,10.02000046,10.02000046,0,XFINU
137,5/9/2022,10.02000046,10.02000046,10.02000046,10.02000046,10.02000046,0,XFINU
138,5/10/2022,10.02000046,10.02000046,10.02000046,10.02000046,10.02000046,0,XFINU
139,5/11/2022,10.02000046,10.02000046,10.02000046,10.02000046,10.02000046,0,XFINU
140,5/12/2022,10.02000046,10.02000046,10.02000046,10.02000046,10.02000046,0,XFINU
141,5/13/2022,10.02000046,10.02000046,10.02000046,10.02000046,10.02000046,0,XFINU
142,5/16/2022,10.02000046,10.02000046,10.02000046,10.02000046,10.02000046,0,XFINU
143,5/17/2022,10.02000046,10.02000046,10.02000046,10.02000046,10.02000046,0,XFINU
144,5/18/2022,10.02000046,10.02000046,10.02000046,10.02000046,10.02000046,0,XFINU
145,5/19/2022,10.02000046,10.02000046,10.02000046,10.02000046,10.02000046,0,XFINU
146,5/20/2022,10.02000046,10.02000046,10.02000046,10.02000046,10.02000046,0,XFINU
147,5/23/2022,10.02000046,10.02000046,10.01500034,10.02000046,10.02000046,14723,XFINU
148,5/24/2022,10.02000046,10.02009964,9.989999771,10.02000046,10.02000046,17277,XFINU
149,5/25/2022,10.02000046,10.02000046,10.02000046,10.02000046,10.02000046,0,XFINU
150,5/26/2022,10.02000046,10.02000046,10.02000046,10.02000046,10.02000046,0,XFINU
151,5/27/2022,10.02000046,10.02000046,10.02000046,10.02000046,10.02000046,170,XFINU
152,5/31/2022,10.0,10.0,10.0,10.0,10.0,103,XFINU
153,6/1/2022,10.0,10.0,10.0,10.0,10.0,0,XFINU
154,6/2/2022,10.0,10.0,10.0,10.0,10.0,0,XFINU
155,6/3/2022,10.0,10.0,10.0,10.0,10.0,0,XFINU
156,6/6/2022,10.0,10.0,10.0,10.0,10.0,0,XFINU
157,6/7/2022,10.0,10.0,10.0,10.0,10.0,0,XFINU
158,6/8/2022,10.0,10.0,10.0,10.0,10.0,0,XFINU
159,6/9/2022,9.99090004,9.99090004,9.99090004,9.99090004,9.99090004,1000,XFINU
160,6/10/2022,10.0,10.02680016,9.989999771,10.0,10.0,16469,XFINU
161,6/13/2022,10.0,10.0,9.989999771,9.989999771,9.989999771,40400,XFINU
162,6/14/2022,9.979999542,9.979999542,9.979999542,9.979999542,9.979999542,303,XFINU
163,6/15/2022,10.0,10.0,9.989999771,9.989999771,9.989999771,3188,XFINU
164,6/16/2022,10.0,10.0,9.970000267,9.979999542,9.979999542,58989,XFINU
